City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
308,Gornopravdinsk,RU,60.05,69.9,52.23,77,96,4.54,overcast clouds
309,Bogatyye Saby,RU,56.0102,50.4483,69.24,70,100,2.13,overcast clouds
310,Haines Junction,CA,60.7522,-137.5108,58.95,47,100,4.61,overcast clouds
311,Leningradskiy,RU,69.3833,178.4167,34.38,91,99,10.8,overcast clouds
312,Vizinga,RU,61.0749,50.1031,65.37,86,52,3.53,broken clouds
313,Saint-Augustin,CA,51.226,-58.6502,66.47,84,98,11.16,overcast clouds
314,Bousse,BF,12.6606,-1.8922,84.34,64,84,8.95,broken clouds
315,Catamarca,AR,-28.4696,-65.7852,85.59,39,88,3.0,overcast clouds
316,Mandera,KE,3.9366,41.867,85.91,33,81,12.33,broken clouds
317,Jurado,CO,7.1053,-77.7641,81.21,79,76,5.55,light rain
318,Yacuiba,BO,-22.038,-63.6797,85.12,36,41,6.13,scattered clouds
319,Belmonte,BR,-15.8631,-38.8828,74.55,84,51,9.24,broken clouds
320,Torbay,CA,47.6666,-52.7314,79.29,90,94,3.65,overcast clouds
321,Port Jervis,US,41.3751,-74.6927,93.63,25,26,4.97,scattered clouds
322,Santa Helena De Goias,BR,-17.8136,-50.5969,86.5,23,0,5.79,clear sky
323,San Lawrenz,MT,36.0553,14.204,80.55,75,0,8.93,clear sky
324,Sitka,US,57.0531,-135.33,55.29,88,100,3.44,mist
325,Coihaique,CL,-45.5752,-72.0662,32.61,74,75,4.61,broken clouds
326,Verkhnevilyuysk,RU,63.4453,120.3167,59.79,85,3,3.8,clear sky
327,Horn,DE,51.8715,8.9451,67.98,57,38,4.7,scattered clouds
328,Manaus,BR,-3.1019,-60.025,90.1,66,75,8.05,broken clouds
329,Riofrio,CO,4.1571,-76.2885,76.28,77,77,2.26,broken clouds
330,Yatou,CN,37.15,122.3833,70.68,94,15,9.13,few clouds
331,Cairns,AU,-16.9167,145.7667,61.07,86,40,10.36,scattered clouds
332,Hamilton,US,39.1834,-84.5333,85.05,57,0,10.36,clear sky
333,Russell,US,32.3502,-85.1999,92.97,66,20,5.75,few clouds
334,Wad Madani,SD,14.4012,33.5199,99.54,26,60,7.7,broken clouds
335,Hirara,JP,24.8,125.2833,84.63,80,94,12.41,overcast clouds
336,Camopi,GF,3.1655,-52.3158,83.59,72,65,2.51,broken clouds
337,Kuminskiy,RU,58.6667,66.5667,55.96,77,91,3.04,overcast clouds
338,Bambanglipuro,ID,-7.95,110.2833,75.54,88,91,9.28,overcast clouds
339,Venezuela,VE,8.0,-66.0,88.88,50,36,13.65,scattered clouds
340,South Lake Tahoe,US,38.9332,-119.9844,83.25,19,0,16.11,clear sky
341,Kahului,US,20.8947,-156.47,80.62,70,40,12.66,scattered clouds
342,Elk Point,US,42.6833,-96.6836,108.84,18,50,23.64,scattered clouds
343,San Quintin,MX,30.4833,-115.95,70.5,67,100,8.46,overcast clouds
344,Shreveport,US,32.5251,-93.7502,94.24,53,75,8.05,broken clouds
